year,mfr_name,division,model,cyl,displ,mpg_unadj_comb,mpg_adj_comb
2021,Wishful Thinkin,Wishful,Fast and Efficient,8,5.2,220.113,170
2021,Honda,Acura,NSX,6,3.5,29.356,21
2021,aston martin,Aston Martin Lagonda Ltd,Vantage Manual,8,4,21.248,17
2021,aston martin,Aston Martin Lagonda Ltd,Vantage V8,8,4,26.649,20
2021,Volkswagen Group of,Audi,R8,10,5.2,19.259,16
2021,Volkswagen Group of,Audi,R8 2WD,10,5.2,20.069,17
2021,Volkswagen Group of,Audi,R8 Spyder,10,5.2,19.259,16
2021,Volkswagen Group of,Audi,R8 Spyder 2WD,10,5.2,20.069,17
2021,Volkswagen Group of,Audi,TT Roadster quattro,4,2,33.082,26
2021,BMW,BMW,Z4 M40i,6,3,33.899,25
2021,BMW,BMW,Z4 sDrive30i,4,2,37.108,28
2021,Volkswagen Group of,Bugatti,Chiron,16,8,12.885,11
2021,Volkswagen Group of,Bugatti,Chiron Pur Sport,16,8,12.431,10
2021,General Motors,Chevrolet,CORVETTE,8,6.2,23.188,19
2021,Ferrari,"Ferrari North America, Inc.",812 GTS,12,6.5,16.89,13
2021,Ferrari,"Ferrari North America, Inc.",812 Superfast,12,6.5,16.942,13
2021,Ferrari,"Ferrari North America, Inc.",F8 Spider,8,3.9,20.499,16
2021,Ferrari,"Ferrari North America, Inc.",F8 Tributo,8,3.9,20.984,16
2021,Ford Motor Company,Ford,FORD GT,6,3.5,17.93,14
2021,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,8,5,23.841,18
2021,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,8,5,23.841,18
2021,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,6,3,27.252,21
2021,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,6,3,27.252,21
2021,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,6,3,28.639,22
2021,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,6,3,28.639,22
2021,Volkswagen Group of,Lamborghini,Aventador Coupe,12,6.5,12.863,10
2021,Volkswagen Group of,Lamborghini,Aventador Roadster,12,6.5,13.084,10
2021,Volkswagen Group of,Lamborghini,Aventador Sian Coupe,12,6.5,12.696,10
2021,Volkswagen Group of,Lamborghini,Aventador Sian Roadster,12,6.5,12.696,10
2021,Volkswagen Group of,Lamborghini,Huracan,10,5.2,18.855,15
2021,Volkswagen Group of,Lamborghini,Huracan 2WD,10,5.2,18.865,15
2021,Volkswagen Group of,Lamborghini,Huracan Spyder,10,5.2,18.855,15
2021,Volkswagen Group of,Lamborghini,Huracan Spyder 2WD,10,5.2,18.866,15
2021,MAZDA,MAZDA,MX-5,4,2,40.296,30
2021,MAZDA,MAZDA,MX-5,4,2,39.315,29
2021,McLaren Automotive,McLaren,720S Coupe,8,4,22.677,18
2021,McLaren Automotive,McLaren,720S Coupe LM,8,4,22.677,18
2021,McLaren Automotive,McLaren,720S Spider,8,4,22.677,18
2021,McLaren Automotive,McLaren,Elva,8,4,22.474,18
2021,McLaren Automotive,McLaren,GT,8,4,22.723,18
2021,Mercedes-Benz,Mercedes-Benz,AMG GT (coupe),8,4,21.742,17
2021,Mercedes-Benz,Mercedes-Benz,AMG GT (roadster),8,4,21.432,17
2021,Mercedes-Benz,Mercedes-Benz,AMG GT Black Series,8,4,21.745,17
2021,Mercedes-Benz,Mercedes-Benz,AMG GT C (coupe),8,4,21.375,17
2021,Mercedes-Benz,Mercedes-Benz,AMG GT C (roadster),8,4,21.507,17
2021,Mercedes-Benz,Mercedes-Benz,AMG GT R (coupe),8,4,20.974,16
2021,Nissan,NISSAN,370Z,6,3.7,27.068,20
2021,Porsche,Porsche,718 Boxster,4,2,31.279,24
2021,Porsche,Porsche,718 Boxster,4,2,29.629,22
2021,Porsche,Porsche,718 Boxster GTS 4.0,6,4,27.674,21
2021,Porsche,Porsche,718 Boxster GTS 4.0,6,4,25.083,19
2021,Porsche,Porsche,718 Boxster S,4,2.5,28.359,22
2021,Porsche,Porsche,718 Boxster S,4,2.5,27.454,21
2021,Porsche,Porsche,718 Boxster T,4,2,30.81,23
2021,Porsche,Porsche,718 Boxster T,4,2,29.629,22
2021,Porsche,Porsche,718 Cayman,4,2,31.279,24
2021,Porsche,Porsche,718 Cayman,4,2,29.629,22
2021,Porsche,Porsche,718 Cayman GT4,6,4,26.467,20
2021,Porsche,Porsche,718 Cayman GT4,6,4,24.951,19
2021,Porsche,Porsche,718 Cayman GTS 4.0,6,4,27.674,21
2021,Porsche,Porsche,718 Cayman GTS 4.0,6,4,25.083,19
2021,Porsche,Porsche,718 Cayman S,4,2.5,28.359,22
2021,Porsche,Porsche,718 Cayman S,4,2.5,27.454,21
2021,Porsche,Porsche,718 Cayman T,4,2,30.81,23
2021,Porsche,Porsche,718 Cayman T,4,2,29.629,22
2021,Porsche,Porsche,718 Spyder,6,4,26.467,20
2021,Porsche,Porsche,718 Spyder,6,4,24.951,19
2021,BMW,TOYOTA,Supra 2.0,4,2,37.108,28
2021,BMW,TOYOTA,Supra 3.0,6,3,33.225,25
2021,aston martin,Aston Martin Lagonda Ltd,DB11 V12,12,5.2,22.844,18
2021,aston martin,Aston Martin Lagonda Ltd,DB11 V8,8,4,26.66,20
2021,aston martin,Aston Martin Lagonda Ltd,DBS,12,5.2,21.866,17
2021,Volkswagen Group of,Bentley,Continental GT Convertible,8,4,23.203,19
2021,Volkswagen Group of,Bentley,Continental GT Convertible,12,6,18.64,15
2021,Ferrari,"Ferrari North America, Inc.",Portofino,8,3.9,23.477,18
2021,Ferrari,"Ferrari North America, Inc.",Portofino M,8,3.9,24.277,19
2021,Toyota,LEXUS,LC 500 CONVERTIBLE,8,5,23.202,18
2021,Lotus,Lotus Cars Ltd,Evora GT,6,3.5,26.098,20
2021,Lotus,Lotus Cars Ltd,Evora GT,6,3.5,24.165,20
2021,BMW,Mini,COOPER CONVERTIBLE,3,1.5,43.02,31
2021,BMW,Mini,COOPER CONVERTIBLE,3,1.5,41.065,30
2021,BMW,Mini,COOPER S CONVERTIBLE,4,2,39.095,29
2021,BMW,Mini,COOPER S CONVERTIBLE,4,2,35.074,26
2021,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,4,2,38.026,28
2021,Porsche,Porsche,911 Carrera,6,3,27.907,20
2021,Porsche,Porsche,911 Carrera 4,6,3,27.605,20
2021,Porsche,Porsche,911 Carrera 4 Cabriolet,6,3,27.293,20
2021,Porsche,Porsche,911 Carrera 4S,6,3,26.449,20
2021,Porsche,Porsche,911 Carrera 4S,6,3,26.937,20
2021,Porsche,Porsche,911 Carrera 4S Cabriolet,6,3,26.632,20
2021,Porsche,Porsche,911 Carrera 4S Cabriolet,6,3,26.626,20
2021,Porsche,Porsche,911 Carrera Cabriolet,6,3,27.821,20
2021,Porsche,Porsche,911 Carrera S,6,3,26.627,20
2021,Porsche,Porsche,911 Carrera S,6,3,27.515,21
2021,Porsche,Porsche,911 Carrera S Cabriolet,6,3,26.673,20
2021,Porsche,Porsche,911 Carrera S Cabriolet,6,3,27.252,20
2021,Porsche,Porsche,911 Targa 4,6,3,27.511,20
2021,Porsche,Porsche,911 Targa 4S,6,3,27.173,20
2021,Porsche,Porsche,911 Targa 4S,6,3,26.065,20
2021,Porsche,Porsche,911 Turbo,6,3.7,22.115,17
2021,Porsche,Porsche,911 Turbo Cabriolet,6,3.7,22.046,17
2021,Porsche,Porsche,911 Turbo S,6,3.7,22.463,17
2021,Porsche,Porsche,911 Turbo S Cabriolet,6,3.7,21.735,17
2021,Volkswagen Group of,Audi,A5 Cabriolet quattro,4,2,34.096,26
2021,Volkswagen Group of,Audi,A5 quattro,4,2,35.736,27
2021,Volkswagen Group of,Audi,RS 5,6,2.9,25.893,20
2021,Volkswagen Group of,Audi,S5,6,3,30.671,23
2021,Volkswagen Group of,Audi,S5 Cabriolet,6,3,29.611,22
2021,Volkswagen Group of,Audi,TT Coupe quattro,4,2,33.082,26
2021,Volkswagen Group of,Audi,TT RS,5,2.5,29.544,24
2021,Volkswagen Group of,Audi,TTS Coupe,4,2,32.675,25
2021,Volkswagen Group of,Bentley,Continental GT,8,4,23.203,19
2021,Volkswagen Group of,Bentley,Continental GT,12,6,18.642,15
2021,BMW,BMW,230i Convertible,4,2,35.784,27
2021,BMW,BMW,230i Coupe,4,2,37.108,28
2021,BMW,BMW,230i Coupe,4,2,33.023,25
2021,BMW,BMW,230i xDrive Convertible,4,2,31.949,24
2021,BMW,BMW,230i xDrive Coupe,4,2,31.949,24
2021,BMW,BMW,430i Convertible,4,2,36.14,27
2021,BMW,BMW,430i Coupe,4,2,39.124,29
2021,BMW,BMW,430i xDrive Coupe,4,2,36.172,27
2021,BMW,BMW,840i Convertible,6,3,32.574,25
2021,BMW,BMW,840i Coupe,6,3,33.969,25
2021,BMW,BMW,840i xDrive Convertible,6,3,30.098,23
2021,BMW,BMW,840i xDrive Coupe,6,3,30.098,23
2021,BMW,BMW,M2 Competition Coupe,6,3,24.262,19
2021,BMW,BMW,M2 Competition Coupe,6,3,26.23,20
2021,BMW,BMW,M240i Convertible,6,3,32.008,24
2021,BMW,BMW,M240i Convertible,6,3,28.12,21
2021,BMW,BMW,M240i Coupe,6,3,32.008,24
2021,BMW,BMW,M240i Coupe,6,3,28.12,21
2021,BMW,BMW,M240i xDrive Convertible,6,3,32.027,24
2021,BMW,BMW,M240i xDrive Coupe,6,3,32.027,24
2021,BMW,BMW,M4 Competition Coupe,6,3,24.22,19
2021,BMW,BMW,M4 Coupe,6,3,24.101,19
2021,BMW,BMW,M440i Convertible,6,3,34.813,26
2021,BMW,BMW,M440i xDrive Coupe,6,3,33.877,25
2021,BMW,BMW,M8 Competition Convertible,8,4.4,21.934,17
2021,BMW,BMW,M8 Convertible,8,4.4,21.934,17
